@relation matrixdomains

@attribute numberOfRows numeric
@attribute numberOfColumns numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute maxEig numeric
@attribute field {real,pattern}
@attribute symmetric {symmetric,general,skew-symmetric}
@attribute domain {'subsequent circuit simulation problem','structural problem','optimization problem','computational fluid dynamics problem','undirected graph','2D/3D problem','directed graph','chemical process simulation problem','power network problem','economic problem','circuit simulation problem','subsequent computational fluid dynamics problem','subsequent theoretical/quantum chemistry problem','electromagnetics problem','directed weighted graph','materials problem','eigenvalue/model reduction problem','model reduction problem','undirected random graph','thermal problem'}

@data
10974,10974,519,519,0.003559,39.060507,15.414264,237.599546,16223889752.403388,real,symmetric,'structural problem'
817,817,817,817,0.001224,1,0,0,79090368.14358,real,symmetric,'structural problem'
1159,1159,2,2,0.008224,9.531493,2.715433,7.373576,163.317085,real,symmetric,'computational fluid dynamics problem'
3008,3008,1,1273,0.002288,6.880984,10.157381,103.172395,58.871701,real,general,'chemical process simulation problem'
11790,11790,317,597,0.000773,9.107973,14.493869,210.072233,11356272.354189,real,general,'economic problem'
41374,41374,5272,5292,0.000134,5.544182,6.472786,41.896955,511.999983,real,general,'economic problem'
2910,2910,1,1,0.020583,59.895533,30.025509,901.531194,200586018.969509,real,symmetric,'structural problem'
4562,4562,322,322,0.006633,30.258658,15.175526,230.296598,13.374838,real,general,'subsequent computational fluid dynamics problem'
268,268,1,1,0.04291,11.5,5.769285,33.284644,15.458938,pattern,symmetric,'structural problem'
59,59,1,1,0.076702,4.525424,0.97124,0.943308,5.966416,pattern,symmetric,'structural problem'
3937,3937,290,351,0.001639,6.453391,3.055953,9.338846,11719859.074729,real,general,'computational fluid dynamics problem'
9506,9506,1,1,0.01673,159.03198,25.185281,634.298399,1.9584,real,symmetric,'subsequent theoretical/quantum chemistry problem'
3402,3402,3402,3402,0.011265,38.321869,28.818744,830.52001,3.977454410478998E14,real,general,'structural problem'
960,960,1,1,0.017192,16.504167,2.454589,6.025009,954.149532,real,symmetric,'structural problem'
2048,2048,1,1,0.002411,4.938477,0.506069,0.256106,0.978802,real,general,'electromagnetics problem'
588,588,1,1,0.061948,36.42517,9.315747,86.783147,53721947.24777,real,symmetric,'structural problem'
63336,63336,1,1,0.00078,49.42554,11.803252,139.316758,57.640428,pattern,symmetric,'structural problem'
85567,85567,1,1,0.000057,4.899097,0.304866,0.092943,5.991432,pattern,symmetric,'structural problem'
1015,1015,1,1,0.01068,10.840394,3.166352,10.025783,1,real,general,'directed weighted graph'
1250,1250,1,1,0.004672,5.84,0.38382,0.147318,46.361184,real,general,'computational fluid dynamics problem'
32769,32769,1,1,0.000355,11.636791,13.957377,194.808383,0,real,general,'materials problem'
9520,9520,2,2,0.004427,42.142857,32.481606,1055.054703,71.426091,pattern,symmetric,'optimization problem'
4257,4257,1,1,0.002067,8.800799,0.753294,0.567452,201.221813,real,symmetric,'model reduction problem'
18,18,1,5,0.114198,2.055556,0.235702,0.055556,2.09491,pattern,general,'directed graph'
2921,2921,1,1,0.002396,6.999315,10.214682,104.339726,32793455.694419,real,symmetric,'optimization problem'
22401,22401,3,3,0.000359,8.046293,20.459043,418.572455,531719.337094,real,symmetric,'optimization problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179903,real,general,'subsequent circuit simulation problem'
1220,1220,34,194,0.003932,4.796721,4.023066,16.185059,12.342262,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
2232,2232,25,3,0.016129,36,11.236108,126.250112,41.355262,pattern,symmetric,'structural problem'
3002,3002,1,1002,0.000999,2.998001,0.818396,0.669773,1,real,symmetric,'materials problem'
97578,97578,1,1,0.001024,99.95665,28.557841,815.55029,1586826040603.87968,real,symmetric,'structural problem'
28216,28216,2,2,0.000917,25.874681,264.440723,69928.896079,48493.798451,real,symmetric,'power network problem'
20944,20944,2576,6781,0.00017,3.551662,2.686469,7.217118,300158.605661,real,general,'eigenvalue/model reduction problem'
4720,4720,1,1,0.001232,5.814407,0.6708,0.449973,6.030185,pattern,symmetric,'2D/3D problem'
27792,27792,285,3460,0.000225,6.253454,1.673276,2.799851,11.937234,real,symmetric,'2D/3D problem'
72000,72000,1,1,0.005539,398.82825,76.944074,5920.39048,2830.159183,real,symmetric,'2D/3D problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.282926,real,general,'subsequent circuit simulation problem'
16384,16384,1,1,0.000366,5.996338,1.34823,1.817724,6.679474,pattern,symmetric,'undirected graph'
32768,32768,6,60,0.000298,9.780273,3.155138,9.954893,17.358999,pattern,symmetric,'undirected random graph'
148,148,2,2,0.069713,10.317568,7.421276,55.075336,191.984118,real,general,'2D/3D problem'
11948,11948,792,792,0.001044,12.478239,7.62482,58.137888,72376740712.966256,real,symmetric,'structural problem'
485,485,485,485,0.002062,1,0,0,95591101.2307,real,symmetric,'structural problem'
512,512,1,1,0.00946,4.84375,0.667237,0.445205,2.299705,real,general,'electromagnetics problem'
2624,2624,6,60,0.005203,13.652058,72.880051,5311.501841,1.094838,real,general,'circuit simulation problem'
4562,4562,322,322,0.00633,28.876589,16.726225,279.766613,15.513264,real,general,'subsequent computational fluid dynamics problem'
1733,1733,2,2,0.007388,12.803808,4.227323,17.870263,151658558816.265888,real,symmetric,'computational fluid dynamics problem'
3083,3083,2,1872,0.001238,3.816737,3.488902,12.172439,17.620362,real,general,'chemical process simulation problem'
11790,11790,317,597,0.000773,9.107973,14.493869,210.072233,1242.624334,real,general,'economic problem'
9129,9129,321,321,0.000635,5.792858,3.83711,14.723411,2024.36603,real,general,'economic problem'
4704,4704,1,1,0.004734,22.269558,6.456716,41.689177,304505945.750771,real,symmetric,'structural problem'
30237,30237,1,1,0.001586,47.959884,14.233034,202.579254,9786258302.68849,real,symmetric,'structural problem'
