 @RELATION matrixdomains      

   @ATTRIBUTE UFindex   NUMERIC
   @ATTRIBUTE groupName   string
   @ATTRIBUTE name   string

   @ATTRIBUTE numberOfRows   NUMERIC 
   @ATTRIBUTE numberOfColumns   NUMERIC 

   @ATTRIBUTE isSymmectric   {true, false}   
   @ATTRIBUTE numberOfConnectedComponent   NUMERIC 
   @ATTRIBUTE numberOfBlockFromDmPerm   NUMERIC
   @ATTRIBUTE normalizedAvgNNZPerRow   NUMERIC
   @ATTRIBUTE avgNNZPerRow   NUMERIC
   @ATTRIBUTE stdNNZPerRow   NUMERIC 
   @ATTRIBUTE varNNZPerRow   NUMERIC

   @ATTRIBUTE maxEig   NUMERIC
   @ATTRIBUTE isMaxEigNegative    {true, false} 

   @ATTRIBUTE isDiagonallyDominant   {true, false} 
   @ATTRIBUTE isBlockDiagonal   {true, false}   
   @ATTRIBUTE isDiagonal   {true, false}  
   %@ATTRIBUTE representation   {"coordinate"}   
   @ATTRIBUTE field   {"real","pattern"}   
   @ATTRIBUTE symmetric   {"symmetric", "general", "skew-symmetric"}      
  
   @ATTRIBUTE isSubsequentCircuitSimulationProblem   {0,1}     
   @ATTRIBUTE isCircuitSimulationProblems   {0,1} 
   @ATTRIBUTE isThermalProblem    {0,1} 
   @ATTRIBUTE isStructuralProblem    {0,1} 
   @ATTRIBUTE isOptimizationProblem    {0,1} 
   @ATTRIBUTE isComputationalFluidDynamicsProblem    {0,1} 
   @ATTRIBUTE isUndirectedGraph    {0,1} 
   @ATTRIBUTE is2D3DProblem    {0,1} 
   @ATTRIBUTE isElectromagneticsProblem    {0,1} 
   @ATTRIBUTE isModelReductionProblem    {0,1} 
   @ATTRIBUTE isDirectedGraph   {0,1}
   
   @ATTRIBUTE isSubsequentComputationalFluidDynamicsProblem   {0,1}
   @ATTRIBUTE isUndirectedRandomGraph   {0,1}
   @ATTRIBUTE isEigenvalueModelReductionProblem   {0,1}
   @ATTRIBUTE isChemicalProcessSimulationProblem   {0,1}
   @ATTRIBUTE isDirectedWeightedGraph   {0,1}
   @ATTRIBUTE isPowerNetworkProblem   {0,1}
   @ATTRIBUTE isMaterialsProblem   {0,1}
   @ATTRIBUTE isSubsequentTheoreticalQuantumChemistryProblem   {0,1}
   @ATTRIBUTE isEconomicProblem   {0,1}
            
   %@ATTRIBUTE domain {"subsequent circuit simulation problem","circuit simulation problem","thermal problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","electromagnetics problem","model reduction problem","directed graph","subsequent computational fluid dynamics problem","undirected random graph","eigenvalue/model reduction problem","chemical process simulation problem","directed weighted graph","power network problem","materials problem","subsequent theoretical/quantum chemistry problem","economic problem"}
   @ATTRIBUTE domain {"subsequent circuit simulation problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","directed graph","chemical process simulation problem","power network problem","economic problem", "circuit simulation problem", "subsequent computational fluid dynamics problem", "subsequent theoretical/quantum chemistry problem", "electromagnetics problem", "directed weighted graph", "materials problem", "eigenvalue/model reduction problem", "model reduction problem", "undirected random graph", "thermal problem"}


   
   
@data
39,"HB","bcsstk17",10974,10974,true,519,519,0.0035593682023042418,39.06050665208675,15.414264383527465,237.59954648528335,1.6223889752403389e10,false,false,true,false,"real","symmetric",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"structural problem"
69,"HB","bcsstm19",817,817,true,817,817,0.0012239902080783353,1.0,0.0,0.0,7.909036814357994e7,false,true,true,true,"real","symmetric",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"structural problem"
429,"FIDAP","ex32",1159,1159,true,2,2,0.00822389358592878,9.531492666091458,2.715432852527736,7.373575576586917,163.31708508571074,false,false,true,false,"real","symmetric",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"computational fluid dynamics problem"
459,"Grund","bayer08",3008,3008,false,1,1273,0.0022875611843594388,6.880984042553192,10.157381314771678,103.17239517367283,58.87170075593918,false,false,false,false,"real","general",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"chemical process simulation problem"
549,"Hollinger","g7jac040",11790,11790,false,317,597,0.0007725167818790956,9.107972858354538,14.493868794647875,210.07223263646745,1.1356272354189483e7,true,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"economic problem"
579,"Hollinger","jan99jac120sc",41374,41374,false,5272,5292,0.00013400160334348175,5.544182336733214,6.472785750663989,41.89695537399878,511.99998289821445,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"economic problem"
759,"Nasa","nasa2910",2910,2910,true,1,1,0.0205826572666832,59.89553264604811,30.02550904666412,901.531193511309,2.0058601896950853e8,false,false,false,false,"real","symmetric",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"structural problem"
399,"DRIVCAV","cavity20",4562,4562,false,322,322,0.006632761614011713,30.258658483121437,15.17552628059363,230.29659789298793,13.374838293509578,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"subsequent computational fluid dynamics problem"
99,"HB","can_268",268,268,true,1,1,0.04291044776119403,11.5,5.7692845479103,33.28464419475655,15.458937799776189,false,false,false,false,"pattern","symmetric",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"structural problem"
129,"HB","dwt_59",59,59,true,1,1,0.07670209709853491,4.52542372881356,0.9712404475789927,0.9433080070134422,5.966415967487772,false,false,false,false,"pattern","symmetric",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"structural problem"
189,"HB","lns_3937",3937,3937,false,290,351,0.001639164568651718,6.453390906781814,3.0559525260235207,9.338845841309539,1.1719859074729273e7,true,false,true,false,"real","general",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"computational fluid dynamics problem"
