   % 1. Title: Iris Plants Database
   % 
   % 2. Sources:
   %      (a) Creator: R.A. Fisher
   %      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
   %      (c) Date: July, 1988
   % print(outfile, "$(M.UFindex),")
   % print(outfile, "$(M.groupName),")
   % print(outfile, "$(M.name),")

   % print(outfile, "$(M.numberOfRows),")
   % print(outfile, "$(M.numberOfColumns),")

   % print(outfile, "$(M.isSymmectric),")
   % print(outfile, "$(M.isSquare),")
   % print(outfile, "$(M.numberOfConnectedComponent),")
   % print(outfile, "$(M.numberOfConnectedComponent2),")
   % print(outfile, "$(M.numberOfBlockFromDmPerm),")
   % print(outfile, "$(M.avgNNZPerRow),")
   % print(outfile, "$(M.stdNNZPerRow),")
   % print(outfile, "$(M.varNNZPerRow),")

   % print(outfile, "$(M.maxEig),")
   % print(outfile, "$(M.isDiagonallyDominant),")
   % print(outfile, "$(M.isBlockDiagonal),")
   % print(outfile, "$(M.isDiagonal),")

   % print(outfile, "$(M.mm.representation),")
   % print(outfile, "$(M.mm.field),")
   % print(outfile, "$(M.mm.symmetric),")
   % print(outfile, "$(M.mm.domain)")

 
 @RELATION matrixdomains



   @ATTRIBUTE UFindex   NUMERIC
   @ATTRIBUTE groupName   string
   @ATTRIBUTE name   string

   @ATTRIBUTE numberOfRows   NUMERIC 
   @ATTRIBUTE numberOfColumns   NUMERIC 

   @ATTRIBUTE isSymmectric   {true, false}   
   @ATTRIBUTE numberOfConnectedComponent   NUMERIC 
   @ATTRIBUTE numberOfBlockFromDmPerm   NUMERIC
   @ATTRIBUTE normalizedAvgNNZPerRow   NUMERIC
   @ATTRIBUTE avgNNZPerRow   NUMERIC
   @ATTRIBUTE stdNNZPerRow   NUMERIC 
   @ATTRIBUTE varNNZPerRow   NUMERIC

   @ATTRIBUTE maxEig   NUMERIC
   @ATTRIBUTE isMaxEigNegative    {true, false} 

   @ATTRIBUTE isDiagonallyDominant   {true, false} 
   @ATTRIBUTE isBlockDiagonal   {true, false}   
   @ATTRIBUTE isDiagonal   {true, false}  
   %@ATTRIBUTE representation   {"coordinate"}   
   @ATTRIBUTE field   {"real","pattern"}   
   @ATTRIBUTE symmetric   {"symmetric", "general", "skew-symmetric"}
  
   @ATTRIBUTE isPowerNetworkProblem   {0,1}     
   @ATTRIBUTE isStructuralProblem    {0,1} 
   @ATTRIBUTE isCFDP    {0,1} 
   @ATTRIBUTE isSOP    {0,1} 
   @ATTRIBUTE "is2d3dP"    {0,1} 
   @ATTRIBUTE "isSubsequent2d3dP"    {0,1} 
   @ATTRIBUTE isDirectedWeightedGraph    {0,1} 
   @ATTRIBUTE isChemicalProcessSimulationProblem    {0,1} 
   @ATTRIBUTE isThermalProblem    {0,1} 
   @ATTRIBUTE isEconomicProblem    {0,1} 
        
   %@ATTRIBUTE domain {"subsequent circuit simulation problem","circuit simulation problem","thermal problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","electromagnetics problem","model reduction problem","directed graph","subsequent computational fluid dynamics problem","undirected random graph","eigenvalue/model reduction problem","chemical process simulation problem","directed weighted graph","power network problem","materials problem","subsequent theoretical/quantum chemistry problem","economic problem"}
   @ATTRIBUTE domain {"subsequent circuit simulation problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","directed graph","chemical process simulation problem","power network problem","economic problem"}

@data
39,"HB","bcsstk17",10974,10974,true,519,519,0.0035593682023042418,39.06050665208675,15.414264383527465,237.59954648528335,1.6223889752403389e10,false,false,true,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
69,"HB","bcsstm19",817,817,true,817,817,0.0012239902080783353,1.0,0.0,0.0,7.909036814357994e7,false,true,true,true,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
429,"FIDAP","ex32",1159,1159,true,2,2,0.00822389358592878,9.531492666091458,2.715432852527736,7.373575576586917,163.31708508571074,false,false,true,false,"real","symmetric",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
459,"Grund","bayer08",3008,3008,false,1,1273,0.0022875611843594388,6.880984042553192,10.157381314771678,103.17239517367283,58.87170075593918,false,false,false,false,"real","general",0,0,0,0,0,0,0,1,0,0,"chemical process simulation problem"
549,"Hollinger","g7jac040",11790,11790,false,317,597,0.0007725167818790956,9.107972858354538,14.493868794647875,210.07223263646745,1.1356272354189483e7,true,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
579,"Hollinger","jan99jac120sc",41374,41374,false,5272,5292,0.00013400160334348175,5.544182336733214,6.472785750663989,41.89695537399878,511.99998289821445,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
759,"Nasa","nasa2910",2910,2910,true,1,1,0.0205826572666832,59.89553264604811,30.02550904666412,901.531193511309,2.0058601896950853e8,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
99,"HB","can_268",268,268,true,1,1,0.04291044776119403,11.5,5.7692845479103,33.28464419475655,15.458937799776148,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
129,"HB","dwt_59",59,59,true,1,1,0.07670209709853491,4.52542372881356,0.9712404475789927,0.9433080070134422,5.966415967487768,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
189,"HB","lns_3937",3937,3937,false,290,351,0.001639164568651718,6.453390906781814,3.0559525260235207,9.338845841309539,1.171986036547623e7,true,false,true,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
219,"HB","nos3",960,960,true,1,1,0.017191840277777776,16.504166666666666,2.454589311800905,6.0250086896072395,954.1495318587935,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
339,"Boeing","bcsstk34",588,588,true,1,1,0.06194756814290343,36.425170068027214,9.315747277083165,86.78314733048242,5.372194724776952e7,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
819,"Simon","raefsky6",3402,3402,false,3402,3402,0.011264511901392169,38.32186948853616,28.81874406834172,830.520009676581,3.9774544104789944e14,false,false,true,true,"real","general",0,1,0,0,0,0,0,0,0,0,"structural problem"
849,"Chen","pkustk03",63336,63336,true,1,1,0.0007803704050976399,49.425539977264116,11.803251995198517,139.31675766215776,57.6404284647234,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
2229,"TSOPF","TSOPF_FS_b39_c7",28216,28216,true,2,2,0.000917021584634199,25.87468103203856,264.4407231859555,69928.89607911115,48493.798451394476,true,false,true,false,"real","symmetric",1,0,0,0,0,0,0,0,0,0,"power network problem"
