@relation 'matrixdomains-weka.filters.unsupervised.attribute.Remove-Rfirst-3,5,6,20-39'

@attribute numberOfRows numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute maxEig numeric
@attribute isMaxEigNegative {true,false}
@attribute isDiagonallyDominant {true,false}
@attribute isBlockDiagonal {true,false}
@attribute isDiagonal {true,false}
@attribute field {real,pattern,integer,complex}
@attribute symmetric {symmetric,general,skew-symmetric}
@attribute domain {'subsequent circuit simulation problem','structural problem','optimization problem','computational fluid dynamics problem','undirected graph','2D/3D problem','directed graph','chemical process simulation problem','power network problem','economic problem','circuit simulation problem','subsequent computational fluid dynamics problem','subsequent theoretical/quantum chemistry problem','electromagnetics problem','directed weighted graph','materials problem','eigenvalue/model reduction problem','model reduction problem','undirected random graph','thermal problem','undirected weighted graph'}

@data

66,66,66,0.015152,1,0,0,0.345657,false,true,true,true,real,symmetric,'structural problem'
715,1,1,0.013037,9.321678,5.887842,34.666686,10.324834,false,false,false,false,pattern,symmetric,'structural problem'
782,2,2,0.009782,7.649616,2.557907,6.542887,0.000034,true,true,true,false,real,symmetric,'electromagnetics problem'
30237,29228,14796,0.000023,0.681913,1.034346,1.069872,0.021369,false,false,true,false,real,symmetric,'structural problem'
3079,3,3,0.005601,17.245534,7.385346,54.543332,262.410554,false,false,true,false,real,general,'computational fluid dynamics problem'
20614,2754,2774,0.000263,5.428495,6.29628,39.643143,256,false,false,true,false,real,general,'economic problem'
54870,1,1,0.000889,48.793949,8.530714,72.773085,3425352839.916361,false,false,false,false,real,symmetric,'structural problem'
4350,1,1,0.012567,54.666207,21.838205,476.907182,60.151067,false,false,false,false,pattern,symmetric,'structural problem'
33960,1,1,0.001373,46.632509,14.452765,208.882408,56.165507,false,false,false,false,pattern,symmetric,'structural problem'
6136,92,92,0.001416,8.691167,67.922147,4613.418054,15.411072,true,false,true,false,real,general,'2D/3D problem'
1813,6,469,0.003421,6.202427,30.785618,947.754255,1.340904,false,false,true,false,real,general,'subsequent circuit simulation problem'
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,false,false,true,false,real,general,'subsequent circuit simulation problem'
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,'subsequent circuit simulation problem'
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,'subsequent circuit simulation problem'
14822,1,1,0.003258,48.293348,5.116737,26.180995,26.490123,false,false,false,false,real,symmetric,'computational fluid dynamics problem'
182730,1,1,0.000049,8.984141,2.749469,7.559578,25610.837711,false,false,false,false,real,symmetric,'2D/3D problem'
121728,1,1,0.000255,31.02849,14.373165,206.587866,4.2426246051984737E18,false,false,false,false,real,symmetric,'structural problem'
110355,1410,6052,0.000046,5.03322,19.262322,371.037064,844728.142048,false,false,true,false,real,general,'circuit simulation problem'
5488,754,50,0.00047,2.581997,5.949228,35.393312,9.564028,false,false,true,false,pattern,symmetric,'undirected graph'
9769,8,8,0.001065,10.403828,17.988928,323.601546,36266.593897,false,false,true,false,real,symmetric,'optimization problem'
5489,1,1,0.008727,47.903625,7.708189,59.416184,9441.384775,false,false,false,false,real,symmetric,'structural problem'
8114,5491,385,0.000395,3.20594,4.783529,22.882149,4.53606,false,false,true,false,pattern,general,'directed graph'
112,112,74,0.00574,0.642857,0.481311,0.23166,84.62,false,false,true,true,real,symmetric,'structural problem'
73,1,1,0.070745,5.164384,2.179537,4.750381,5.087054,false,false,false,false,pattern,symmetric,'structural problem'
3345,616,616,0.002033,6.800897,3.964382,15.716327,11.936557,false,false,true,false,pattern,symmetric,'structural problem'
200,1,1,0.0199,3.98,0.140351,0.019698,1235.50692,true,false,false,false,real,general,'chemical process simulation problem'
23052,10881,3,0.000603,13.907947,14.035103,196.984108,0.941547,false,false,true,false,real,symmetric,'structural problem'
3565,1652,1652,0.005318,18.959607,20.326296,413.158301,179.538657,false,false,true,false,real,general,'computational fluid dynamics problem'
27534,3594,3614,0.000199,5.486417,6.385577,40.775594,866281.117609,false,false,true,false,real,general,'economic problem'
