@relation 'matrixdomains-weka.filters.unsupervised.attribute.Remove-Rfirst-3,5,6,13-14,20-22,24-39'

@attribute numberOfRows numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute isDiagonallyDominant {true,false}
@attribute isBlockDiagonal {true,false}
@attribute isDiagonal {true,false}
@attribute field {real,pattern,integer,complex}
@attribute symmetric {symmetric,general,skew-symmetric,hermitian}
@attribute isUndirectedWeightedRandomGraph {0,1}

@data

66,66,66,0.015152,1,0,0,true,true,true,real,symmetric,0
715,1,1,0.013037,9.321678,5.887842,34.666686,false,false,false,pattern,symmetric,0
782,2,2,0.009782,7.649616,2.557907,6.542887,true,true,false,real,symmetric,0
30237,29228,14796,0.000023,0.681913,1.034346,1.069872,false,true,false,real,symmetric,0
3079,3,3,0.005601,17.245534,7.385346,54.543332,false,true,false,real,general,0
20614,2754,2774,0.000263,5.428495,6.29628,39.643143,false,true,false,real,general,0
54870,1,1,0.000889,48.793949,8.530714,72.773085,false,false,false,real,symmetric,0
4350,1,1,0.012567,54.666207,21.838205,476.907182,false,false,false,pattern,symmetric,0
33960,1,1,0.001373,46.632509,14.452765,208.882408,false,false,false,pattern,symmetric,0
6136,92,92,0.001416,8.691167,67.922147,4613.418054,false,true,false,real,general,0
1813,6,469,0.003421,6.202427,30.785618,947.754255,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
14822,1,1,0.003258,48.293348,5.116737,26.180995,false,false,false,real,symmetric,0
182730,1,1,0.000049,8.984141,2.749469,7.559578,false,false,false,real,symmetric,0
121728,1,1,0.000255,31.02849,14.373165,206.587866,false,false,false,real,symmetric,0
110355,1410,6052,0.000046,5.03322,19.262322,371.037064,false,true,false,real,general,0
5488,754,50,0.00047,2.581997,5.949228,35.393312,false,true,false,pattern,symmetric,0
9769,8,8,0.001065,10.403828,17.988928,323.601546,false,true,false,real,symmetric,0
5489,1,1,0.008727,47.903625,7.708189,59.416184,false,false,false,real,symmetric,0
8114,5491,385,0.000395,3.20594,4.783529,22.882149,false,true,false,pattern,general,0
112,112,74,0.00574,0.642857,0.481311,0.23166,false,true,true,real,symmetric,0
73,1,1,0.070745,5.164384,2.179537,4.750381,false,false,false,pattern,symmetric,0
3345,616,616,0.002033,6.800897,3.964382,15.716327,false,true,false,pattern,symmetric,0
200,1,1,0.0199,3.98,0.140351,0.019698,false,false,false,real,general,0
23052,10881,3,0.000603,13.907947,14.035103,196.984108,false,true,false,real,symmetric,0
3565,1652,1652,0.005318,18.959607,20.326296,413.158301,false,true,false,real,general,0
27534,3594,3614,0.000199,5.486417,6.385577,40.775594,false,true,false,real,general,0
76480,321,25761,0.000056,4.311742,1.25316,1.570411,false,true,false,real,general,0
80676,1,1,0.000662,53.410977,6.569292,43.155595,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
6833,66,507,0.000926,6.329577,27.312271,745.960157,false,true,false,pattern,general,0
389874,920,920,0.000014,5.380113,1.969994,3.880876,false,true,false,real,symmetric,0
140874,3,3,0.00018,25.328847,10.651348,113.451207,false,true,false,real,symmetric,0
100,1,48,0.0708,7.08,7.07775,50.094545,false,false,false,real,general,0
358172,1178,3497,0.000015,5.435877,180.112627,32440.558578,false,true,false,real,general,0
485,44,173,0.011742,5.694845,6.827999,46.621564,false,true,false,pattern,symmetric,0
10471,1,1,0.001006,10.532423,41.340484,1709.035601,false,false,false,real,symmetric,0
5489,1,1,0.007224,39.652214,5.218322,27.230881,false,false,false,real,symmetric,0
38120,378,378,0.011128,424.217445,484.243851,234492.106839,false,true,false,real,general,0
26518,20167,643,0.000093,2.46508,4.365098,19.054085,false,true,false,pattern,general,0
132,132,68,0.003788,0.5,0.501905,0.251908,false,true,true,real,symmetric,0
838,1,1,0.014254,11.945107,6.227034,38.775956,false,false,false,pattern,symmetric,0
240,1,1,0.039028,9.366667,2.64475,6.9947,false,false,false,real,general,0
2000,1,1,0.001999,3.998,0.044688,0.001997,false,false,false,real,general,0
25503,25068,13572,0.000024,0.608752,0.700228,0.490319,false,true,false,real,symmetric,0
1601,1,1,0.012425,19.893192,7.878719,62.07421,false,false,false,real,symmetric,0
27534,3594,3614,0.000199,5.486417,6.385577,40.775594,false,true,false,real,general,0
4720,81,1641,0.0009,4.246186,1.269888,1.612615,false,true,false,real,general,0
